pertSize,reactionTime,initialResponse,subID,blockNo,speed,leftResponse,rightResponse,noResponse
50,5.93200015211187,-1,2,6,0,1,0,0
200,4.30300626587996,1,2,6,0,0,1,0
-150,2.64000805652176,1,2,6,0,0,1,0
-300,2.62900315332809,1,2,6,0,0,1,0
25,4.4910010784879,-1,2,6,0,1,0,0
0,7.0400063394336,-1,2,6,0,1,0,0
300,2.4610075589444,-1,2,6,0,1,0,0
-50,6.12000404822902,1,2,6,0,0,1,0
100,3.45600235390884,-1,2,6,0,1,0,0
0,7.19300466036657,1,2,6,0,0,1,0
-200,2.58000605297275,1,2,6,0,0,1,0
150,2.45100270200055,-1,2,6,0,1,0,0
100,3.34300063836417,-1,2,6,0,1,0,0
200,2.27000427783059,-1,2,6,0,1,0,0
0,7.5770016388924,1,2,6,0,0,1,0
-100,3.85000063693587,1,2,6,0,0,1,0
50,4.42899893141293,-1,2,6,0,1,0,0
-300,4.04399638915493,-1,2,6,0,1,0,0
0,6.81599657154584,-1,2,6,0,1,0,0
-25,6.9130013244212,1,2,6,0,0,1,0
300,4.57800409126503,-1,2,6,0,1,0,0
150,4.45799741161318,-1,2,6,0,1,0,0
-200,3.58899984347954,1,2,6,0,0,1,0
-50,4.86899967897625,1,2,6,0,0,1,0
25,5.61999913954787,-1,2,6,0,1,0,0
100,4.43299919999117,-1,2,6,0,1,0,0
150,3.77300062203722,-1,2,6,0,1,0,0
-200,2.74200166845549,1,2,6,0,0,1,0
0,5.72699869382632,-1,2,6,0,1,0,0
100,3.2409981361634,-1,2,6,0,1,0,0
-50,4.86099591696257,1,2,6,0,0,1,0
300,3.50099852753192,-1,2,6,0,1,0,0
0,7.75400141704449,1,2,6,0,0,1,0
25,4.66099523914454,-1,2,6,0,1,0,0
-300,2.76999483144755,1,2,6,0,0,1,0
-150,2.61100360465207,1,2,6,0,0,1,0
200,2.42100455856416,-1,2,6,0,1,0,0
50,4.53199984670209,-1,2,6,0,1,0,0
-25,4.96500220990856,1,2,6,0,0,1,0
-100,3.76199694931711,1,2,6,0,0,1,0
-150,2.63600387597398,1,2,6,0,0,1,0
25,6.52799488604069,-1,3,1,0,1,0,0
-50,6.81900053310528,1,3,1,0,0,1,0
-200,1.98199969232519,1,3,1,0,0,1,0
150,6.93800366592768,-1,3,1,0,1,0,0
300,3.31999855530739,-1,3,1,0,1,0,0
-25,4.88399796962767,-1,3,1,0,1,0,0
0,8.28199418282748,-1,3,1,0,1,0,0
-300,2.97100036525808,1,3,1,0,0,1,0
-100,5.00399665570876,1,3,1,0,0,1,0
0,2.85199403214938,-1,3,1,0,1,0,0
200,4.24199409819266,-1,3,1,0,1,0,0
-150,5.7360019435946,1,3,1,0,0,1,0
-100,1.93999986803829,1,3,1,0,0,1,0
-25,2.94000044703716,1,3,1,0,0,1,0
50,4.91000016128964,-1,3,1,0,1,0,0
200,4.05899782085908,-1,3,1,0,1,0,0
-150,2.80899876916374,1,3,1,0,0,1,0
-300,1.41700388920435,1,3,1,0,0,1,0
25,3.07000284099922,-1,3,1,0,1,0,0
0,5.72099758112745,-1,3,1,0,1,0,0
300,2.30799749648577,-1,3,1,0,1,0,0
-50,3.01700185549271,-1,3,1,0,1,0,0
100,1.48799588990369,-1,3,1,0,1,0,0
0,7.29599534559384,-1,3,1,0,1,0,0
150,3.26299888467474,-1,3,1,0,1,0,0
100,3.60400064730493,-1,3,1,0,1,0,0
-200,3.24000605678884,1,3,1,0,0,1,0
200,1.41400087344664,-1,3,1,0,1,0,0
